"CC10,C,6","NOTFOR10,C,6"
A000,A000
A000,A001
A000,A009
A000,A020
A000,A030
A000,A031
A000,A032
A000,A033
A000,A038
A000,A039
A000,A040
A000,A041
A000,A042
A000,A043
A000,A044
A000,A045
A000,A046
A000,A047
A000,A048
A000,A049
A000,A050
A000,A052
A000,A053
A000,A054
A000,A058
A000,A059
A000,A060
A000,A061
A000,A062
A000,A070
A000,A071
A000,A072
A000,A073
A000,A078
A000,A079
A000,A080
A000,A081
A000,A082
A000,A083
A000,A084
A000,A085
A000,A090
A000,A099
A000,P370
A000,P371
A000,P372
A000,P373
A000,P374
A000,P375
A000,P378
A000,P379
A000,P38
A000,P398
A000,P399
A010,A010
A010,A011
A010,A012
A010,A013
A010,A014
A010,A021
A010,A022
A010,A028
A010,A029
A010,A090
A010,A099
A010,A207
A010,A227
A010,A240
A010,A241
A010,A242
A010,A243
A010,A244
A010,A250
A010,A251
A010,A259
A010,A267
A010,A270
A010,A278
A010,A279
A010,A320
A010,A321
A010,A327
A010,A328
A010,A329
A010,A38
A010,A391
A010,A392
A010,A393
A010,A394
A010,A398
A010,A399
A010,A400
A010,A401
A010,A402
A010,A403
A010,A408
A010,A409
A010,A410
A010,A411
A010,A412
A010,A413
A010,A414
A010,A415
A010,A418
A010,A419
A010,A427
A010,A428
A010,A429
A010,A438
A010,A439
A010,A440
A010,A441
A010,A448
A010,A449
A010,A482
A010,A483
A010,A484
A010,A488
A010,A490
A010,A491
A010,A492
A010,A498
A010,A548
A010,A549
A010,M860
A010,M8600
A010,M8601
A010,M8602
A010,M8603
A010,M8604
A010,M8605
A010,M8606
A010,M8607
A010,M8608
A010,M8609
A010,M861
A010,M8610
A010,M8611
A010,M8612
A010,M8613
A010,M8614
A010,M8615
A010,M8616
A010,M8617
A010,M8618
A010,M8619
A010,M862
A010,M8620
A010,M8621
A010,M8622
A010,M8623
A010,M8624
A010,M8625
A010,M8626
A010,M8627
A010,M8628
A010,M8629
A010,M863
A010,M8630
A010,M8631
A010,M8632
A010,M8633
A010,M8634
A010,M8635
A010,M8636
A010,M8637
A010,M8638
A010,M8639
A010,M864
A010,M8640
A010,M8641
A010,M8642
A010,M8643
A010,M8644
A010,M8645
A010,M8646
A010,M8647
A010,M8648
A010,M8649
A010,M865
A010,M8650
A010,M8651
A010,M8652
A010,M8653
A010,M8654
A010,M8655
A010,M8656
A010,M8657
A010,M8658
A010,M8659
A010,M866
A010,M8660
A010,M8661
A010,M8662
A010,M8663
A010,M8664
A010,M8665
A010,M8666
A010,M8667
