"Dagger","Asterisk","PDx","MDC"
A010,G01,G01,01
A010,I390,I390,05
A010,I391,I391,05
A010,I392,I392,05
A010,I393,I393,05
A010,I394,I394,05
A010,I398,I398,05
A010,I410,I410,05
A010,J170,J170,04
A010,M013,M013,08
A010,M0130,M0130,08
A010,M0131,M0131,08
A010,M0132,M0132,08
A010,M0133,M0133,08
A010,M0134,M0134,08
A010,M0135,M0135,08
A010,M0136,M0136,08
A010,M0137,M0137,08
A010,M0138,M0138,08
A010,M0139,M0139,08
A010,M492,M492,08
A010,M4920,M4920,08
A010,M4921,M4921,08
A010,M4922,M4922,08
A010,M4923,M4923,08
A010,M4924,M4924,08
A010,M4925,M4925,08
A010,M4926,M4926,08
A010,M4927,M4927,08
A010,M4928,M4928,08
A010,M4929,M4929,08
A010,M902,M902,08
A010,M9020,M9020,08
A010,M9021,M9021,08
A010,M9022,M9022,08
A010,M9023,M9023,08
A010,M9024,M9024,08
A010,M9025,M9025,08
A010,M9026,M9026,08
A010,M9027,M9027,08
A010,M9028,M9028,08
A010,M9029,M9029,08
A011,M013,M013,08
A011,M0130,M0130,08
A011,M0131,M0131,08
A011,M0132,M0132,08
A011,M0133,M0133,08
A011,M0134,M0134,08
A011,M0135,M0135,08
A011,M0136,M0136,08
A011,M0137,M0137,08
A011,M0138,M0138,08
A011,M0139,M0139,08
A012,M013,M013,08
A012,M0130,M0130,08
A012,M0131,M0131,08
A012,M0132,M0132,08
A012,M0133,M0133,08
A012,M0134,M0134,08
A012,M0135,M0135,08
A012,M0136,M0136,08
A012,M0137,M0137,08
A012,M0138,M0138,08
A012,M0139,M0139,08
A013,M013,M013,08
A013,M0130,M0130,08
A013,M0131,M0131,08
A013,M0132,M0132,08
A013,M0133,M0133,08
A013,M0134,M0134,08
A013,M0135,M0135,08
A013,M0136,M0136,08
A013,M0137,M0137,08
A013,M0138,M0138,08
A013,M0139,M0139,08
A014,M013,M013,08
A014,M0130,M0130,08
A014,M0131,M0131,08
A014,M0132,M0132,08
A014,M0133,M0133,08
A014,M0134,M0134,08
A014,M0135,M0135,08
A014,M0136,M0136,08
A014,M0137,M0137,08
A014,M0138,M0138,08
A014,M0139,M0139,08
A022,G01,G01,01
A022,J170,J170,04
A022,M013,M013,08
A022,M0130,M0130,08
