"drg","dc","pcl_min","pcl_max"
00019,0001,0,9
00029,0002,0,9
00049,0004,0,9
00060,0006,0,0
00061,0006,1,9
00070,0007,0,1
00071,0007,2,9
00099,0009,0,9
00100,0010,0,2
00101,0010,3,4
00102,0010,5,5
00103,0010,6,9
00110,0011,0,4
00111,0011,5,6
00112,0011,7,9
00120,0012,0,3
00121,0012,4,9
00130,0013,0,3
00131,0013,4,6
00132,0013,7,9
01010,0101,0,1
01011,0101,2,2
01012,0101,3,9
01020,0102,0,0
01021,0102,1,3
01022,0102,4,4
01023,0102,5,9
01030,0103,0,2
01031,0103,3,3
01032,0103,4,9
01040,0104,0,1
01041,0104,2,9
01050,0105,0,3
01051,0105,4,9
01060,0106,0,0
01061,0106,1,2
01062,0106,3,9
01079,0107,0,9
01089,0108,0,9
01090,0109,0,1
01091,0109,2,9
01129,0112,0,9
01139,0113,0,9
01149,0114,0,9
01179,0117,0,9
01500,0150,0,1
01501,0150,2,2
01502,0150,3,9
01510,0151,0,4
01511,0151,5,9
01520,0152,0,3
01521,0152,4,5
01522,0152,6,9
01530,0153,0,2
01531,0153,3,4
01532,0153,5,5
01533,0153,6,9
01540,0154,0,2
01541,0154,3,9
01550,0155,0,2
01551,0155,3,4
01552,0155,5,5
01553,0155,6,6
01554,0155,7,9
01560,0156,0,3
01561,0156,4,6
01562,0156,7,9
01570,0157,0,2
01571,0157,3,5
01572,0157,6,6
01573,0157,7,9
01580,0158,0,3
01581,0158,4,4
01582,0158,5,9
01590,0159,0,1
01591,0159,2,2
01592,0159,3,3
01593,0159,4,9
01600,0160,0,2
01601,0160,3,9
01610,0161,0,2
01611,0161,3,5
01612,0161,6,9
01620,0162,0,1
01621,0162,2,9
01630,0163,0,2
01631,0163,3,5
01632,0163,6,6
01633,0163,7,7
01634,0163,8,9
01640,0164,0,2
01641,0164,3,4
01642,0164,5,6
01643,0164,7,9
01650,0165,0,1
01651,0165,2,2
01652,0165,3,3
01653,0165,4,9
01660,0166,0,2
01661,0166,3,3
01662,0166,4,9
01670,0167,0,2
01671,0167,3,4
01672,0167,5,6
01673,0167,7,9
01680,0168,0,2
01681,0168,3,4
01682,0168,5,5
01683,0168,6,9
01690,0169,0,1
01691,0169,2,9
01709,0170,0,9
01710,0171,0,1
01711,0171,2,9
01720,0172,0,5
01721,0172,6,7
01722,0172,8,9
01730,0173,0,3
01731,0173,4,5
01732,0173,6,9
01749,0174,0,9
01760,0176,0,1
01761,0176,2,3
01762,0176,4,9
01770,0177,0,1
01771,0177,2,2
01772,0177,3,9
02010,0201,0,4
02011,0201,5,5
02012,0201,6,6
02013,0201,7,9
02020,0202,0,2
02021,0202,3,9
02039,0203,0,9
02050,0205,0,1
02051,0205,2,3
02052,0205,4,9
02060,0206,0,5
02061,0206,6,9
02070,0207,0,0
02071,0207,1,2
02072,0207,3,3
02073,0207,4,9
02080,0208,0,1
02081,0208,2,2
02082,0208,3,3
02083,0208,4,9
02090,0209,0,2
02091,0209,3,9
02109,0210,0,9
02110,0211,0,0
02111,0211,1,9
02129,0212,0,9
02130,0213,0,0
02131,0213,1,9
02500,0250,0,2
02501,0250,3,4
02502,0250,5,9
02510,0251,0,2
02511,0251,3,4
02512,0251,5,9
02520,0252,0,1
02521,0252,2,2
02522,0252,3,9
02530,0253,0,1
02531,0253,2,9
02540,0254,0,2
02541,0254,3,5
02542,0254,6,9
02550,0255,0,2
02551,0255,3,9
03010,0301,0,3
03011,0301,4,9
03100,0310,0,2
03101,0310,3,3
03102,0310,4,9
03120,0312,0,1
03121,0312,2,9
03140,0314,0,2
03141,0314,3,4
03142,0314,5,5
03143,0314,6,9
03219,0321,0,9
03500,0350,0,2
03501,0350,3,4
03502,0350,5,9
03510,0351,0,2
03511,0351,3,4
