"code","main"
A001,A000
A009,A000
A012,A011
A013,A011
A014,A011
A031,A030
A032,A030
A033,A030
A038,A030
A041,A040
A042,A040
A043,A040
A045,A040
A046,A040
A052,A051
A053,A051
A054,A051
A058,A051
A062,A061
A063,A061
A071,A070
A072,A070
A073,A070
A078,A070
A081,A080
A082,A080
A083,A080
A084,A080
A151,A150
A152,A150
A155,A154
A156,A154
A157,A154
A158,A154
A161,A160
A162,A160
A164,A163
A165,A163
A167,A163
A168,A163
A169,A160
A185,A184
A186,A184
A188,A184
A191,A190
A192,A190
A198,A190
A199,A190
A201,A200
A202,A200
A203,A200
A207,A200
A208,A200
A209,A200
A211,A210
A212,A210
A217,A210
A218,A210
A219,A210
A221,A220
A222,A220
A227,A220
A229,A220
A232,A230
A238,A230
A239,A230
A243,A242
A259,A251
A279,A278
A281,A280
A282,A280
A301,A300
A302,A300
A303,A300
A304,A300
A305,A300
A308,A300
A309,A300
A327,A320
A328,A320
A329,A320
A361,A360
A362,A360
A363,A360
A368,A360
A369,A360
A371,A370
A379,A370
A394,A392
A398,A392
A399,A392
A401,A400
A402,A400
A403,A400
A408,A400
A409,A400
A414,A413
A421,A420
A422,A420
A427,A420
A428,A420
A429,A420
A431,A430
A438,A430
A439,A430
A441,A440
A448,A440
A449,A440
A501,A500
A502,A500
A503,A500
A504,A500
A505,A500
A506,A500
A507,A500
A509,A500
A513,A511
A514,A511
A522,A521
A523,A521
A527,A521
A541,A540
A542,A540
A543,A540
A545,A540
A546,A540
A548,A540
A560,A55
A561,A55
A562,A55
A563,A55
A568,A55
A57,A55
A58,A55
A662,A661
A663,A661
A664,A661
A673,A671
A681,A661
A689,A661
A691,A690
A692,A661
A751,A750
A752,A750
A753,A750
A759,A750
A770,A750
A771,A750
A772,A750
A778,A750
A779,A750
A78,A750
A790,A750
A791,A750
A798,A750
A799,A750
A801,A800
A802,A800
A803,A800
A804,A800
A809,A800
A811,A810
A812,A810
A818,A810
A819,A810
A821,A820
A829,A820
A831,A830
A834,A830
A835,A830
A838,A830
A839,A830
A840,A830
A848,A830
A849,A830
A852,A830
A858,A830
A86,A830
A878,A872
A879,A872
A888,A881
A911,A91
A919,A91
A921,A920
A922,A920
A923,A920
A925,A920
A928,A920
A929,A920
A930,A920
A931,A920
A951,A950
A959,A950
A961,A960
A968,A960
A969,A960
A970,A90
A971,A91
A972,A910
A979,A90
A981,A980
A982,A980
A983,A980
A984,A980
A985,A980
A988,A980
A99,A980
B019,B018
B027,B023
B028,B023
B058,B054
B069,B068
B082,B080
B083,B080
B084,B080
B085,B080
B159,B150
B162,B160
B169,B161
B170,B161
B178,B172
B181,B180
B1810,B180
B1819,B180
B188,B180
B190,B160
B199,B161
B202,B201
B203,B201
B204,B201
B205,B201
B208,B201
B211,B210
B212,B210
B213,B210
B217,B210
B218,B210
B219,B210
B221,B220
B222,B220
B227,B220
B231,B230
B232,B230
B233,B230
B238,B230
B271,B270
B278,B270
B279,B270
B309,B302
B331,B330
B381,B380
B382,B380
B383,B380
B387,B380
B388,B380
B389,B380
B391,B390
B392,B390
B393,B390
B394,B390
B395,B390
B399,B390
B401,B400
B402,B400
B403,B400
B407,B400
B408,B400
B409,B400
B417,B410
B418,B410
B419,B410
B429,B428
B432,B430
B438,B430
B439,B430
B441,B440
B442,B440
B447,B440
B451,B450
B452,B450
B453,B450
B457,B450
B458,B450
B461,B460
B462,B460
B464,B460
B471,B470
B479,B470
B482,B481
B508,B500
B518,B510
B519,B510
B528,B520
B529,B520
B531,B530
B538,B530
B551,B550
B552,B550
B559,B550
B561,B560
B569,B560
B572,B571
B573,B571
B589,B588
B602,B601
B651,B650
B652,B650
B658,B650
B659,B650
B661,B660
B663,B660
B664,B660
B665,B660
B671,B670
B675,B670
B678,B670
B692,B691
B698,B691
B741,B740
B743,B740
B744,B740
B748,B740
B749,B740
B788,B781
B789,B781
B831,B830
B8310,B830
B8311,B830
B8312,B830
B8318,B830
B8319,B830
B832,B830
B871,B870
B872,B870
B873,B870
B874,B870
C001,C000
C002,C000
C003,C000
C004,C000
C005,C000
C006,C000
C008,C000
C009,C000
C021,C020
C0210,C020
C0211,C020
C0219,C020
C022,C020
C023,C020
C024,C020
C028,C020
C031,C030
C039,C030
C041,C040
C048,C040
C049,C040
C051,C050
C052,C050
C058,C050
C059,C050
C061,C060
C0610,C060
C0611,C060
C0613,C060
C0615,C060
C0619,C060
C062,C060
C0620,C060
C0621,C060
C0629,C060
C068,C060
C081,C080
C088,C080
C089,C080
C091,C090
C098,C090
C099,C090
C101,C100
C102,C100
C103,C100
C104,C100
C108,C100
C109,C100
C111,C110
C112,C110
C113,C110
C118,C110
C119,C110
C120,C12
C121,C12
C122,C12
C128,C12
C129,C12
C131,C130
C132,C130
C138,C130
C139,C130
C142,C140
C148,C140
C151,C150
C152,C150
C153,C150
C154,C150
C155,C150
C158,C150
C159,C150
C161,C160
C162,C160
C163,C160
C164,C160
C165,C160
C166,C160
C168,C160
C169,C160
C171,C170
C172,C170
C173,C170
C178,C170
C179,C170
C181,C180
C183,C182
C184,C180
C186,C185
C211,C210
C212,C210
C218,C210
C223,C222
C224,C222
C227,C222
C252,C251
C253,C251
C254,C251
C257,C251
C258,C251
C268,C260
C269,C260
C301,C300
C312,C311
C313,C311
C318,C311
C319,C311
C323,C322
C328,C322
C329,C322
C348,C340
C382,C381
C383,C381
C384,C381
C388,C381
C398,C390
C399,C390
C401,C400
C403,C400
C408,C400
C409,C400
C4100,C410
C4101,C410
C4102,C410
C4108,C410
C4109,C410
C411,C410
C4110,C410
C4111,C410
C4119,C410
C412,C410
C413,C410
C418,C410
C431,C430
C432,C430
C433,C430
C434,C430
C435,C430
C436,C430
C437,C430
C438,C430
C439,C430
C442,C440
C443,C440
C445,C440
C446,C440
C448,C440
C459,C457
C461,C460
C462,C460
C463,C460
C467,C460
C468,C460
C469,C460
C471,C470
C472,C470
C473,C470
C474,C470
C475,C470
C476,C470
C478,C470
C479,C470
C482,C481
C488,C481
C494,C493
C495,C493
C496,C493
C498,C493
C501,C500
C502,C500
C503,C500
C504,C500
C505,C500
C506,C500
C508,C500
C509,C500
C511,C510
C512,C510
C518,C510
C542,C540
C543,C540
C548,C540
C571,C570
C572,C570
C573,C570
C574,C570
C578,C577
C579,C577
C601,C600
C602,C600
C608,C600
C609,C600
C621,C620
C629,C620
C631,C630
C632,C630
C637,C630
C638,C630
C639,C630
C671,C670
C672,C670
C673,C670
C674,C670
C675,C670
C676,C670
C677,C670
C678,C670
C679,C670
C681,C680
C688,C680
C691,C690
C692,C690
C693,C690
C694,C690
C695,C690
C696,C690
C698,C690
C699,C690
C701,C700
C709,C700
C711,C710
C712,C710
C713,C710
C714,C710
C715,C710
C716,C710
C717,C710
C718,C710
C721,C720
C722,C720
C723,C720
C724,C720
C725,C720
C728,C720
C741,C740
C749,C740
C750,C73
C752,C751
C753,C751
C754,C751
C755,C751
C758,C751
C765,C764
C768,C767
C774,C773
C775,C773
C778,C773
C791,C790
C811,C810
C812,C810
C813,C810
C814,C810
C817,C810
C819,C810
C821,C820
C822,C820
C823,C820
C824,C820
C825,C820
C826,C820
C827,C820
C833,C830
C837,C831
C838,C831
C839,C831
C841,C840
C844,C840
C845,C840
C846,C840
C847,C840
C848,C840
C849,C840
C857,C852
C862,C861
C863,C861
C864,C861
C866,C861
C882,C880
C883,C880
C884,C880
C887,C880
C889,C880
C902,C901
C903,C901
C914,C913
C915,C913
C916,C913
C917,C913
C918,C913
C919,C913
C922,C921
C923,C921
C924,C920
C925,C920
C926,C921
C927,C921
C928,C921
C929,C921
C937,C933
C939,C933
C943,C942
C944,C942
C946,C942
C947,C942
C957,C951
C959,C951
C962,C960
C964,C960
C965,C960
C966,C960
C967,C960
C968,C960
D331,D330
D332,D330
D334,D330
D354,D353
D355,D353
D421,D420
D429,D420
D431,D430
D433,D430
D445,D444
D461,D460
D464,D460
D465,D462
D466,D460
D467,D462
D471,D470
D474,D472
D475,D470
D477,D470
D508,D501
D511,D510
D512,D510
D513,D510
D518,D510
D519,D510
D521,D520
D528,D520
D529,D520
D531,D530
D532,D530
D551,D550
D552,D550
D553,D550
D558,D550
D559,D550
D571,D570
D572,D570
D581,D580
D593,D592
D594,D592
D5940,D592
D5941,D592
D5942,D592
D5943,D592
D5948,D592
D595,D592
D596,D592
D598,D592
D601,D600
D608,D600
D609,D600
D612,D611
D613,D610
D618,D610
D641,D640
D642,D640
D643,D640
D644,D640
D682,D681
D698,D694
D738,D735
D748,D740
D749,D740
D762,D761
D763,D761
D801,D800
D803,D802
D804,D802
D805,D802
D806,D802
D807,D802
D808,D802
D809,D802
D811,D810
D812,D810
D813,D810
D814,D810
D815,D810
D816,D810
D818,D810
D819,D810
D821,D820
D822,D820
D823,D820
D824,D820
D828,D820
D829,D820
D831,D830
D832,D830
D838,D830
D839,D830
D841,D840
D848,D840
D862,D860
D868,D860
D869,D860
D891,D890
E001,E000
E002,E000
E009,E000
E011,E010
E012,E010
E018,E010
E031,E030
E032,E030
E033,E030
E035,E030
E036,E030
E038,E030
E052,E051
E053,E051
E054,E051
E058,E051
E061,E060
E062,E060
E064,E060
E071,E070
E072,E070
E106,E105
E107,E105
E108,E105
E117,E116
E118,E116
E121,E120
E125,E120
E126,E120
E127,E120
E128,E120
E129,E120
E131,E130
E135,E130
E136,E130
E137,E130
E138,E130
E146,E145
E147,E145
E148,E145
E201,E200
E208,E200
E209,E200
E211,E210
E212,E210
E213,E210
E214,E210
E221,E220
E228,E220
E241,E240
E243,E240
E258,E250
E259,E250
E268,E261
E269,E261
E272,E271
E275,E270
E341,E340
E351,E350
E358,E350
E41,E40
E42,E40
E530,E52
E531,E52
E701,E700
E702,E700
E711,E710
E751,E750
E752,E750
E753,E750
E754,E750
E755,E750
E761,E760
E762,E760
E763,E760
E768,E760
E769,E760
E801,E800
E802,E800
E803,E800
E806,E805
E841,E840
E848,E840
E853,E851
E896,E893
F0000,F000
F0001,F000
F0002,F000
F0003,F000
F0004,F000
F001,F000
F0010,F000
F0011,F000
F0012,F000
F0014,F000
F002,F000
F0020,F000
F0021,F000
F0023,F0013
F0024,F000
F009,F000
F0090,F000
F0091,F000
F0092,F0013
F0094,F000
F0100,F010
F0101,F010
F0104,F010
F011,F010
F0110,F010
F0111,F010
F0114,F010
F012,F010
F0120,F010
F0122,F0113
F013,F010
F0130,F010
F0131,F010
F0134,F0103
F018,F010
F0180,F010
F0181,F010
F0182,F010
F0183,F010
F0184,F010
F0190,F010
F0191,F010
F0192,F010
F0193,F010
F0194,F010
F0200,F020
F0204,F0203
F021,F020
F0210,F020
F022,F020
F0220,F020
F023,F020
F0230,F020
F0231,F020
F0232,F020
F0233,F020
F0234,F020
F0240,F024
F0244,F024
F028,F024
F0280,F020
F0283,F020
F0284,F020
F032,F031
F033,F031
F034,F031
F058,F050
F061,F060
F062,F060
F063,F060
F0630,F060
F0631,F060
F0632,F060
F0633,F060
F064,F060
F065,F060
F066,F060
F068,F060
F071,F070
F072,F070
F078,F070
F1004,F1003
F1006,F1005
F1007,F1003
F1023,F1022
F1031,F1005
F1051,F1003
F1053,F1003
F1054,F1003
F1055,F1003
F1056,F1003
F1070,F1003
F1072,F1003
F1073,F1003
F1074,F1003
F1075,F1003
F1105,F1103
F1106,F1103
F111,F1103
F112,F1103
F1122,F1103
F1123,F1103
F1124,F1103
F1125,F1103
F1126,F1103
F1130,F113
F114,F113
F1140,F113
F115,F113
F1150,F113
F1151,F1131
F1152,F113
F1153,F1131
F1154,F113
F1156,F113
F116,F113
F117,F113
F118,F113
F1200,F120
F1202,F120
F1203,F120
F1204,F1201
F1205,F120
F1206,F120
F121,F120
F1221,F120
F1222,F120
F1223,F1201
F1224,F120
F1226,F120
F1230,F123
F1231,F123
F124,F123
F1240,F123
F125,F123
F1251,F123
F1252,F123
F1253,F123
F1254,F123
F1255,F123
F1256,F123
F126,F123
F127,F123
F1275,F1241
F128,F123
F129,F123
F1305,F1303
F1306,F1303
F131,F1303
F132,F1303
F1320,F1307
F1322,F1307
F1323,F1307
F1324,F1307
F1325,F1303
F1330,F133
F1331,F133
F134,F133
F1340,F133
F1341,F133
F135,F133
F1350,F133
F1352,F133
F136,F133
F137,F133
F138,F133
F1400,F140
F1402,F140
F1404,F1403
F1405,F1403
F141,F140
F142,F140
F1425,F140
F145,F143
F1450,F143
F1470,F143
F1471,F143
F148,F1454
F1502,F1501
F1503,F1501
F1504,F1501
F1505,F1501
F1506,F1501
F1507,F1501
F1522,F1501
F1523,F1501
F1524,F152
F1525,F1501
F1526,F1501
F1530,F153
F1531,F153
F154,F153
F1540,F153
F1541,F153
F1551,F153
F1552,F153
F1553,F153
F1554,F153
F1555,F153
F1556,F153
F156,F153
F157,F153
F158,F153
F1600,F160
F1602,F160
