"CODE,C,6","VALIDCODE,L","DESC,C,38"
000,เท็จ,THERAPEUTIC ULTRASOUND
0001,จริง,Ther ult head & neck ves
0002,จริง,Ther ultrasound of heart
0003,จริง,Ther ult peripheral ves
0009,จริง,Other therapeutic ultsnd
001,เท็จ,PHARMACEUTICALS
0010,จริง,Implant chemothera agent
0011,จริง,Infus drotrecogin alfa
0012,จริง,Adm inhal nitric oxide
0013,จริง,Inject/infus nesiritide
0014,จริง,Injection oxazolidinone
0015,จริง,High-dose infusion il-2
0016,จริง,Pressurized treat graft
0017,จริง,Infusion of vasopressor
0018,จริง,Infus immunosup antibody
0019,จริง,BBBD via infusion
002,เท็จ,INTRAVAS IMAG BL VESSELS
0021,จริง,Ivus extracran cereb ves
0022,จริง,Ivus intrathoracic ves
0023,จริง,Ivus peripheral vessels
0024,จริง,Ivus coronary vessels
0025,จริง,Ivus renal vessels
0028,จริง,Intravascul imaging NEC
0029,จริง,Intravascul imaging NOS
003,เท็จ,COMPUTER ASSIST SURGERY
0031,จริง,CAS w CT/CTA
0032,จริง,CAS w MR/MRA
0033,จริง,CAS w fluoroscopy
0034,จริง,Imageless comp asst surg
0035,จริง,CAS w multiple datasets
0039,จริง,Other CAS
004,เท็จ,ADJUNCT VAS SYSTEM PROC
0040,จริง,Procedure-one vessel
0041,จริง,Procedure-two vessels
0042,จริง,Procedure-three vessels
0043,จริง,Procedure-four+ vessels
0044,จริง,Proc-vessel bifurcation
0045,จริง,Insert 1 vascular stent
0046,จริง,Insert 2 vascular stents
0047,จริง,Insert 3 vascular stents
0048,จริง,Insert 4+ vasculr stents
0049,จริง,SuperSat O2 therapy
005,เท็จ,OTHER CARDIOVAS PROC
0050,จริง,Impl CRT pacemaker sys
0051,จริง,Impl CRT defibrillat sys
0052,จริง,Imp/rep lead lf ven sys
0053,จริง,Imp/rep CRT pacemakr gen
0054,จริง,Imp/rep CRT defib genat
0055,จริง,Ins d-e stent oth periph
0056,จริง,Ins/rep impl sensor w lead
0057,จริง,Imp/rep subcue card dev
0058,จริง,Ins intra-ansm pres mntr
0059,จริง,Intravasc msmnt cor art
006,เท็จ,PROC ON BLOOD VESSELS
0060,จริง,Ins d-e stent supl fem a
0061,จริง,Perc angioplasty extracran ves
0062,จริง,Perc angioplasty intracran ves
0063,จริง,Perc ins carotid stent
0064,จริง,Perc ins extracran stent
0065,จริง,Perc ins intracran stent
0066,จริง,PTCA
0067,จริง,Intravas msmnt thorc art
0068,จริง,Intravas msmt periph art
0069,จริง,Intravs msmt ves NEC/NOS
007,เท็จ,OTHER HIP PROCEDURES
0070,จริง,Rev hip repl-acetab/fem
0071,จริง,Rev hip repl-acetab comp
0072,จริง,Rev hip repl-fem comp
0073,จริง,Rev hip repl-liner/head
0074,จริง,"Hip surface, metal/poly"
0075,จริง,"Hip surface, metal/metal"
0076,จริง,"Hip surface, cermc/cermc"
0077,จริง,"Hip surface, cermc/poly"
008,เท็จ,OTHER KNEE AND HIP PROC
0080,จริง,Rev knee replacemt-total
0081,จริง,Rev knee repl-tibia comp
0082,จริง,Rev knee repl-femur comp
0083,จริง,Rev knee replace-patella
0084,จริง,Rev knee repl-tibia lin
0085,จริง,"Resrf hip,total-acet/fem"
0086,จริง,"Resrf hip,part-fem head"
0087,จริง,"Resrf hip,part-acetablum"
009,เท็จ,OTHER PROC & INTERVENT
0091,จริง,Trnsplnt live rel donor
0092,จริง,Trnsplnt live nonrel don
0093,จริง,Transplant cadaver donor
0094,จริง,Intra-op neurophys montr
0095,จริง,Inj or infus glucarpidase
0096,จริง,Inf 4-Fact Proth Cpx Conc
010,เท็จ,CRANIAL PUNCTURE
0101,จริง,Cisternal puncture
