"mdc","code","pdc"
1,A066,1K
1,A170,1K
1,A171,1K
1,A178,1K
1,A179,1K
1,A390,1K
1,A504,1K
1,A521,1D
1,A522,1K
1,A523,1D
1,A800,1K
1,A801,1K
1,A802,1K
1,A803,1K
1,A809,1K
1,A810,1D
1,A811,1D
1,A812,1D
1,A818,1D
1,A819,1D
1,A820,1K
1,A821,1K
1,A829,1K
1,A830,1K
1,A831,1K
1,A832,1K
1,A833,1K
1,A834,1K
1,A835,1K
1,A836,1K
1,A838,1K
1,A839,1K
1,A840,1K
1,A841,1K
1,A848,1K
1,A849,1K
1,A850,1K
1,A851,1K
1,A852,1K
1,A858,1K
1,A86,1K
1,A870,1L
1,A871,1L
1,A872,1L
1,A878,1L
1,A879,1L
1,A880,1L
1,A881,1U
1,A888,1K
1,A89,1K
1,A922,1K
1,B003,1L
1,B004,1K
1,B010,1L
1,B011,1K
1,B020,1K
1,B021,1L
1,B022,1K
1,B050,1K
1,B051,1L
1,B060,1K
1,B261,1L
1,B262,1K
1,B375,1K
1,B384,1K
1,B431,1C
1,B451,1K
1,B461,1K
1,B574,1K
1,B582,1K
1,B690,1K
1,B8310,1K
1,B900,1U
1,B91,1U
1,B941,1U
1,C700,1C
1,C701,1C
1,C709,1C
1,C710,1C
1,C711,1C
1,C712,1C
1,C713,1C
1,C714,1C
1,C715,1C
1,C716,1C
1,C717,1C
1,C718,1C
1,C719,1C
1,C720,1C
1,C721,1C
1,C722,1C
1,C723,1C
1,C724,1C
1,C725,1C
1,C728,1C
1,C729,1C
1,C752,1C
1,C753,1C
1,C754,1C
1,C755,1C
1,C793,1C
1,C794,1C
1,D1801,1U
1,D320,1C
1,D321,1C
1,D329,1C
1,D330,1C
1,D331,1C
1,D332,1C
1,D333,1C
1,D334,1C
1,D337,1C
1,D339,1C
1,D353,1C
1,D354,1C
1,D355,1C
1,D356,1C
1,D420,1C
1,D421,1C
1,D429,1C
1,D430,1C
1,D431,1C
1,D432,1C
1,D433,1C
1,D434,1C
1,D437,1C
1,D439,1C
1,D444,1C
1,D445,1C
1,D446,1C
1,D447,1C
1,E104,1J
1,E114,1J
1,E124,1J
1,E134,1J
1,E144,1J
1,E512,1D
1,E750,1D
1,E751,1D
1,E754,1D
1,F072,1Q
1,F950,1U
1,F951,1U
1,F952,1U
1,F958,1U
1,F959,1U
1,G000,1K
1,G001,1K
1,G002,1K
1,G003,1K
1,G008,1K
1,G009,1K
1,G01,1K
1,G020,1L
1,G021,1K
1,G028,1K
1,G030,1K
1,G031,1K
1,G032,1L
1,G038,1K
1,G039,1K
1,G040,1K
1,G041,1A
1,G042,1K
1,G043,1K
1,G048,1K
1,G049,1K
1,G050,1K
1,G051,1K
1,G052,1K
1,G058,1K
1,G060,1K
1,G061,1K
1,G062,1K
1,G07,1K
1,G08,1U
1,G09,1U
1,G10,1D
1,G110,1E
1,G111,1E
1,G112,1E
1,G113,1E
1,G114,1E
1,G118,1E
1,G119,1E
1,G120,1D
1,G121,1D
1,G122,1D
1,G128,1D
1,G129,1D
1,G130,1U
1,G131,1D
1,G132,1D
1,G138,1D
1,G14,1D
1,G20,1D
1,G210,1U
1,G211,1D
1,G212,1D
1,G213,1D
1,G214,1D
1,G218,1D
1,G219,1D
1,G22,1D
1,G230,1D
1,G231,1D
1,G232,1D
1,G233,1D
1,G238,1D
1,G239,1D
1,G240,1U
1,G241,1D
1,G242,1D
1,G243,1U
1,G244,1U
1,G248,1D
1,G249,1D
1,G250,1U
1,G251,1U
1,G252,1U
1,G253,1P
1,G254,1U
1,G255,1D
1,G256,1U
1,G258,1D
1,G259,1D
1,G26,1D
1,G300,1D
1,G301,1D
1,G308,1D
1,G309,1D
1,G310,1D
1,G312,1D
1,G318,1D
1,G319,1D
1,G320,1U
1,G328,1D
1,G35,1E
1,G360,1E
1,G361,1E
1,G368,1E
1,G369,1E
1,G370,1E
1,G371,1E
1,G372,1E
1,G373,1E
1,G374,1E
1,G375,1E
1,G378,1E
1,G379,1E
1,G400,1P
1,G401,1P
1,G402,1P
1,G403,1P
1,G404,1P
1,G405,1P
1,G406,1P
1,G407,1P
1,G408,1P
1,G409,1P
1,G410,1P
1,G411,1P
1,G412,1P
1,G418,1P
1,G419,1P
1,G430,1Q
1,G431,1Q
1,G432,1Q
1,G433,1Q
1,G438,1Q
1,G439,1Q
1,G440,1Q
1,G441,1Q
1,G442,1Q
1,G443,1Q
1,G444,1Q
1,G448,1Q
1,G450,1G
1,G451,1G
1,G452,1G
1,G454,1G
1,G458,1G
1,G459,1G
1,G460,1G
1,G461,1G
1,G462,1G
1,G463,1F
1,G464,1F
1,G465,1F
1,G466,1F
1,G467,1F
1,G468,1F
1,G474,1U
1,G500,1J
1,G501,1J
1,G508,1J
1,G509,1J
1,G510,1J
1,G511,1J
1,G512,1J
1,G513,1J
1,G514,1J
1,G518,1J
1,G519,1J
1,G520,1J
1,G521,1J
1,G522,1J
1,G523,1J
1,G527,1J
1,G528,1J
1,G529,1J
1,G530,1J
1,G531,1J
1,G532,1J
1,G533,1J
1,G538,1J
1,G540,1J
1,G541,1J
1,G542,1J
1,G543,1J
1,G544,1J
1,G545,1J
1,G546,1J
1,G547,1J
1,G548,1J
1,G549,1J
1,G550,1J
1,G558,1J
1,G560,1J
1,G561,1J
1,G562,1J
1,G563,1J
1,G564,1J
1,G568,1J
1,G569,1J
1,G570,1J
1,G571,1J
1,G572,1J
1,G573,1J
1,G574,1J
1,G575,1J
1,G576,1J
1,G578,1J
1,G579,1J
1,G580,1J
1,G587,1J
1,G588,1J
1,G589,1J
1,G590,1J
1,G598,1J
1,G600,1J
1,G601,1U
1,G602,1J
1,G603,1J
1,G608,1J
1,G609,1J
1,G610,1V
1,G611,1J
1,G618,1J
1,G619,1J
1,G620,1J
1,G621,1J
1,G622,1J
1,G623,1J
1,G628,1J
1,G629,1J
1,G630,1J
1,G631,1J
1,G632,1J
1,G633,1J
1,G634,1J
1,G635,1J
1,G636,1J
1,G638,1J
1,G64,1J
1,G700,1D
1,G701,1J
1,G702,1D
1,G708,1J
1,G709,1J
1,G710,1U
1,G711,1U
1,G712,1U
1,G713,1U
1,G718,1U
1,G719,1U
1,G720,1U
1,G721,1U
1,G722,1U
1,G723,1U
1,G724,1U
1,G728,1U
1,G729,1U
1,G730,1D
1,G731,1D
1,G732,1D
1,G733,1D
1,G734,1U
1,G735,1U
1,G736,1U
1,G737,1U
1,G800,1B
1,G801,1B
1,G802,1B
1,G803,1B
1,G804,1B
1,G808,1B
1,G809,1B
1,G810,1D
1,G811,1D
1,G819,1D
1,G820,1A
1,G821,1A
1,G822,1A
1,G823,1A
1,G824,1A
1,G825,1A
1,G830,1A
1,G831,1U
1,G832,1U
1,G833,1U
1,G834,1J
1,G835,1A
1,G836,1U
1,G838,1U
1,G839,1U
1,G900,1J
1,G901,1U
1,G902,1J
1,G903,1D
1,G904,1U
1,G906,1J
1,G907,1J
1,G908,1J
1,G909,1J
1,G910,1D
1,G911,1D
1,G912,1D
1,G913,1D
1,G918,1D
1,G919,1D
1,G92,1U
1,G930,1U
1,G931,1U
1,G932,1Q
1,G934,1H
1,G935,1M
1,G936,1M
1,G937,1U
1,G938,1H
1,G939,1H
1,G940,1D
1,G941,1D
1,G942,1D
1,G943,1H
1,G948,1H
1,G950,1D
1,G951,1U
1,G952,1U
1,G958,1U
1,G959,1U
1,G960,1U
1,G961,1U
1,G968,1H
1,G969,1H
1,G970,1U
1,G971,1Q
1,G972,1U
1,G978,1U
1,G979,1U
1,G98,1H
1,G990,1J
1,G991,1J
1,G992,1U
1,G998,1H
1,H471,1U
1,H474,1U
1,H475,1U
1,H476,1U
1,H477,1U
1,H512,1U
1,H580,1D
1,I600,1F
1,I601,1F
1,I602,1F
1,I603,1F
1,I604,1F
1,I605,1F
1,I606,1F
1,I607,1F
1,I608,1F
1,I609,1F
1,I610,1F
1,I611,1F
1,I612,1F
1,I613,1F
1,I614,1F
1,I615,1F
1,I616,1F
1,I618,1F
1,I619,1F
1,I620,1F
1,I621,1F
1,I629,1F
1,I630,1F
1,I631,1F
1,I632,1F
