"mdc","proc","pdc"
0,301,0PG
0,303,0PG
0,304,0PG
0,311,0PF
0,3121,0PF
0,3129,0PF
0,3350,0PB
0,3351,0PB
0,3352,0PB
0,336,0PB
0,3751,0PB
0,4100,0PD
0,4101,0PD
0,4102,0PD
0,4103,0PD
0,4104,0PD
0,4105,0PD
0,4107,0PD
0,4108,0PD
0,4109,0PD
0,5051,0PA
0,5059,0PA
1,0061,1PD
1,0062,1PJ
1,0110,1PB
1,0112,1PB
1,0114,1PB
1,0115,1PB
1,0116,1PB
1,0117,1PB
1,0118,1PB
1,0119,1PB
1,0120,1PB
1,0121,1PB
1,0121>1,1PK
1,0122,1PB
1,0123,1PB
1,0123>1,1PK
1,0124,1PB
1,0124>1,1PK
1,0125,1PB
1,0125>1,1PK
1,0128,1PB
1,0129,1PB
1,0131,1PB
1,0131>1,1PK
1,0132,1PB
1,0132>1,1PK
1,0139,1PB
1,0139>1,1PK
1,0141,1PB
1,0141>1,1PK
1,0142,1PB
1,0142>1,1PK
1,0151,1PB
1,0151>1,1PK
1,0152,1PB
1,0153,1PB
1,0153>1,1PK
1,0159,1PB
1,0159>1,1PK
1,016,1PB
1,016>1,1PK
1,0201,1PB
1,0201>1,1PK
1,0202,1PB
1,0202>1,1PK
1,0203,1PB
1,0204,1PB
1,0205,1PB
1,0206,1PB
1,0207,1PB
1,0211,1PB
1,0211>1,1PK
1,0212,1PB
1,0212>1,1PK
1,0213,1PH
1,0214,1PB
1,0214>1,1PK
1,022,1PB
1,0221,1PB
1,0222,1PB
1,022>1,1PK
1,0231,1PB
1,0231>1,1PK
1,0232,1PB
1,0232>1,1PK
1,0233,1PB
1,0233>1,1PK
1,0234,1PB
1,0234>1,1PK
1,0235,1PB
1,0235>1,1PK
1,0239,1PB
1,0239>1,1PK
1,0242,1PA
1,0243,1PA
1,0291,1PB
1,0291>1,1PK
1,0292,1PB
1,0292>1,1PK
1,0293,1PB
1,0294,1PB
1,0299,1PB
1,0301,1PC
1,0302,1PC
1,0309,1PC
1,031,1PC
1,0321,1PC
1,0329,1PC
1,0332,1PC
1,0339,1PC
1,034,1PC
1,0351,1PC
1,0352,1PC
1,0353,1PC
1,0359,1PC
1,036,1PC
1,0371,1PC
1,0379,1PC
1,0393,1PC
1,0394,1PC
1,0397,1PC
1,0398,1PC
1,0399,1PC
1,0401,1PB
1,0402,1PF
1,0403,1PF
1,0404,1PF
1,0405,1PF
1,0406,1PF
1,0407,1PF
1,0412,1PF
1,0419,1PF
1,043,1PF
1,0441,1PB
1,0441>1,1PK
1,0442,1PF
1,0443,1PE
1,0444,1PF
1,0449,1PF
1,045,1PF
1,046,1PF
1,0471,1PF
1,0472,1PF
1,0473,1PF
1,0474,1PF
1,0475,1PF
1,0476,1PF
1,0479,1PF
1,0491,1PF
1,0492,1PF
1,0493,1PF
1,0499,1PF
1,050,1PF
1,0511,1PF
1,0519,1PF
1,0521,1PF
1,0522,1PF
1,0523,1PF
1,0529,1PF
1,0581,1PF
1,0589,1PF
1,059,1PF
1,0713,1PB
1,0714,1PB
1,0715,1PB
1,0717,1PB
1,0751,1PB
1,0751>1,1PK
1,0752,1PB
1,0752>1,1PK
1,0753,1PB
1,0753>1,1PK
1,0754,1PB
1,0759,1PB
1,0761,1PB
1,0761>1,1PK
1,0762,1PB
1,0762>1,1PK
1,0763,1PB
1,0763>1,1PK
1,0764,1PB
1,0765,1PB
1,0768,1PB
1,0769,1PB
1,0772,1PB
1,0772>1,1PK
1,0780,1PF
1,0781,1PF
1,0782,1PF
1,0783,1PF
1,0784,1PF
1,0851,1PF
1,0852,1PF
1,0859,1PF
1,1753,1PD
1,1754,1PJ
1,1761,1PB
1,3776,1PF
1,3801,1PH
1,3802,1PF
1,3810,1PD
1,3811,1PH
1,3812,1PD
1,3821,1PF
1,3831,1PH
1,3832,1PD
1,3841,1PH
1,3851,1PH
1,3861,1PH
1,3862,1PD
1,387,1PF
1,3881,1PH
1,3882,1PF
1,3922,1PD
1,3928,1PH
1,3929,1PD
1,3930,1PD
1,3931,1PD
1,3932,1PD
1,3951,1PH
1,3952,1PH
1,3953,1PH
1,3956,1PD
1,3957,1PD
1,3958,1PD
1,3959,1PD
1,3972,1PJ
1,3974,1PJ
1,3975,1PJ
1,3976,1PJ
1,398,1PD
1,3981,1PD
1,3982,1PF
1,3983,1PD
1,3984,1PF
1,3985,1PD
1,3989,1PD
1,3992,1PD
1,5495,1PA
1,7670,1PF
1,7672,1PF
1,7674,1PF
1,7676,1PF
1,7677,1PF
1,7679,1PF
1,7791,1PC
1,8050,1PC
1,8051,1PC
1,8054,1PC
1,8059,1PC
1,8100,1PC
1,8101,1PC
1,8102,1PC
1,8103,1PC
1,8104,1PC
1,8105,1PC
1,8106,1PC
1,8107,1PC
1,8108,1PC
1,8132,1PC
1,8133,1PC
1,8138,1PC
1,8255,1PF
1,8256,1PF
1,8258,1PF
1,8285,1PF
1,8313,1PF
1,8319,1PF
1,8321,1PF
1,8345,1PF
1,8371,1PF
1,8372,1PF
1,8373,1PF
1,8374,1PF
1,8375,1PF
1,8376,1PF
1,8377,1PF
1,8379,1PF
1,8385,1PF
1,8387,1PF
1,8388,1PF
1,8389,1PF
1,8393,1PF
1,8411,1PF
1,8415,1PF
1,8459,1PC
1,8461,1PC
1,8462,1PC
1,8464,1PC
1,8480,1PC
1,8681,1PF
1,8694,1PF
1,8695,1PF
1,8696,1PF
1,9230,1PF
1,9231,1PF
1,9232,1PF
1,9233,1PF
