"CODE,C,6","ORP,C,1","ORPTYPE,C,1","SEX,C,1","SITE,C,1","PROCGR,N,1,0","PROCLEV,N,2,0","PCPART,N,1,0","EXTLEV,N,1,0","EXTTYPE,C,1","MMDC,C,2","OMDCS,C,20","MOSPROC,N,1,0","MOSDC,C,4","MOSHIERAR,C,2","JSSITE,C,1","DESC,C,26","DRGUSE,L","MAYUN,L"
0001,N,U,B,-,0,0,0,0,,--,,0,,,,Ther ult head & neck ves,เท็จ,
0002,N,U,B,-,0,0,0,0,,--,,0,,,,Ther ultrasound of heart,เท็จ,
0003,N,U,B,-,0,0,0,0,,--,,0,,,,Ther ult peripheral ves,เท็จ,
0009,N,U,B,-,0,0,0,0,,--,,0,,,,Other therapeutic ultsnd,เท็จ,
0010,N,U,B,-,0,0,0,0,,--,,0,,,,Implant chemothera agent,เท็จ,
0011,N,U,B,-,0,0,0,0,,--,,0,,,,Infus drotrecogin alfa,เท็จ,
0012,N,U,B,-,0,0,0,0,,--,,0,,,,Adm inhal nitric oxide,เท็จ,
0013,N,U,B,-,0,0,0,0,,--,,0,,,,Inject/infus nesiritide,เท็จ,
0014,N,U,B,-,0,0,0,0,,--,,0,,,,Injection oxazolidinone,เท็จ,
0015,N,U,B,-,0,0,0,0,,--,,0,,,,High-dose infusion il-2,เท็จ,
0016,N,U,B,-,0,0,0,0,,--,,0,,,,Pressurized treat graft,เท็จ,
0017,N,U,B,-,0,0,0,0,,--,,0,,,,Infusion of vasopressor,เท็จ,
0018,N,,B,-,0,0,0,0,,--,,0,,,,Infus immunosup antibody,เท็จ,
0019,P,U,B,-,0,0,0,0,,--,,0,,,,BBBD via infusion,เท็จ,
0021,N,U,B,-,0,0,0,0,,--,,0,,,,Ivus extracran cereb ves,เท็จ,
0022,N,U,B,-,0,0,0,0,,--,,0,,,,Ivus intrathoracic ves,เท็จ,
0023,N,U,B,-,0,0,0,0,,--,,0,,,,Ivus peripheral vessels,เท็จ,
0024,N,U,B,-,0,0,0,0,,--,,0,,,,Ivus coronary vessels,เท็จ,
0025,N,U,B,-,0,0,0,0,,--,,0,,,,Ivus renal vessels,เท็จ,
0028,N,U,B,-,0,0,0,0,,--,,0,,,,Intravascul imaging NEC,เท็จ,
0029,N,U,B,-,0,0,0,0,,--,,0,,,,Intravascul imaging NOS,เท็จ,
0031,N,U,B,-,0,0,0,0,,--,,0,,,,CAS w CT/CTA,เท็จ,
0032,N,U,B,-,0,0,0,0,,--,,0,,,,CAS w MR/MRA,เท็จ,
0033,N,U,B,-,0,0,0,0,,--,,0,,,,CAS w fluoroscopy,เท็จ,
0034,N,U,B,-,0,0,0,0,,--,,0,,,,Imageless comp asst surg,เท็จ,
0035,N,U,B,-,0,0,0,0,,--,,0,,,,CAS w multiple datasets,เท็จ,
0039,N,U,B,-,0,0,0,0,,--,,0,,,,Other CAS,เท็จ,
0040,N,,B,-,0,0,2,0,,--,,0,,,,Procedure-one vessel,จริง,
0041,N,,B,-,0,0,2,0,,--,,0,,,,Procedure-two vessels,จริง,
0042,N,,B,-,0,0,2,0,,--,,0,,,,Procedure-three vessels,จริง,
0043,N,,B,-,0,0,2,0,,--,,0,,,,Procedure-four+ vessels,จริง,
0044,N,,B,-,0,0,0,0,,--,,0,,,,Proc-vessel bifurcation,เท็จ,
0045,N,,B,-,0,0,0,0,,--,,0,,,,Insert 1 vascular stent,เท็จ,
0046,N,,B,-,0,0,0,0,,--,,0,,,,Insert 2 vascular stents,เท็จ,
0047,N,,B,-,0,0,0,0,,--,,0,,,,Insert 3 vascular stents,เท็จ,
0048,N,,B,-,0,0,0,0,,--,,0,,,,Insert 4+ vasculr stents,เท็จ,
0049,P,U,B,-,0,0,0,0,,--,,0,,,,SuperSat O2 therapy,เท็จ,
0050,Y,E,B,C,4,48,0,0,,05,,0,,,,Impl CRT pacemaker sys,จริง,
0051,Y,E,B,C,4,49,0,0,,05,,0,,,,Impl CRT defibrillat sys,จริง,
0052,Y,E,B,C,3,35,0,0,,05,,0,,,,Imp/rep lead lf ven sys,จริง,
0053,Y,E,B,C,3,39,0,0,,05,,0,,,,Imp/rep CRT pacemakr gen,จริง,
0054,Y,E,B,C,3,38,0,0,,05,,0,,,,Imp/rep CRT defib genat,จริง,
0055,N,U,B,-,0,0,0,0,,--,,0,,,,Ins d-e stent oth periph,จริง,
0056,Y,,B,-,0,0,1,0,,05,,0,,,,Ins/rep impl sensor w lead,จริง,
0057,Y,,B,-,0,0,2,0,,05,,0,,,,Imp/rep subcue card dev,จริง,
0058,P,U,B,-,0,0,0,0,,--,,0,,,,Ins intra-ansm pres mntr,เท็จ,
0059,P,U,B,-,0,0,0,0,,--,,0,,,,Intravasc msmnt cor art,เท็จ,
0060,N,U,B,-,0,0,0,0,,--,,,,,,Ins d-e stent supl fem a,จริง,
0061,Y,E,B,A,5,57,0,0,,01,05,0,,,,Perc angioplasty extracran,จริง,
0062,Y,E,B,A,5,57,0,0,,01,05,0,,,,Perc angioplasty intracran,จริง,
0063,N,U,B,-,0,0,0,0,,--,,0,,,,Perc ins carotid stent,จริง,
0064,N,U,B,-,0,0,0,0,,--,,0,,,,Perc ins extracran stent,จริง,
0065,N,U,B,-,0,0,0,0,,--,,0,,,,Perc ins intracran stent,จริง,
0066,Y,,B,-,5,54,1,0,,05,,0,,,,PTCA,จริง,
0067,P,U,B,-,0,0,0,0,,--,,0,,,,Intravas msmnt thorc art,เท็จ,
0068,P,U,B,-,0,0,0,0,,--,,0,,,,Intravas msmt periph art,เท็จ,
0069,P,U,B,-,0,0,0,0,,--,,0,,,,Intravs msmt ves NEC/NOS,เท็จ,
0070,Y,E,B,-,5,55,0,2,>,08,,0,,,,Rev hip repl-acetab/fem,จริง,
0071,Y,E,B,-,5,53,0,2,>,08,,0,,,,Rev hip repl-acetab comp,จริง,
0072,Y,E,B,-,5,55,0,2,>,08,,0,,,,Rev hip repl-fem comp,จริง,
0073,Y,E,B,-,5,55,0,2,>,08,,0,,,,Rev hip repl-liner/head,จริง,
0074,N,E,B,-,0,0,0,0,,--,,0,,,,"Hip surface, metal/poly",เท็จ,
0075,N,E,B,-,0,0,0,0,,--,,0,,,,"Hip surface, metal/metal",เท็จ,
0076,N,E,B,-,0,0,0,0,,--,,0,,,,"Hip surface, cermc/cermc",เท็จ,
0077,N,E,B,-,0,0,0,0,,--,,0,,,,"Hip surface, cermc/poly",เท็จ,
0080,Y,E,B,-,5,53,0,2,>,08,,0,,,,Rev knee replacemt-total,จริง,
0081,Y,E,B,-,5,53,0,2,>,08,,0,,,,Rev knee repl-tibia comp,จริง,
0082,Y,E,B,-,5,53,0,2,>,08,,0,,,,Rev knee repl-femur comp,จริง,
0083,Y,E,B,-,4,45,0,2,>,08,,0,,,,Rev knee replace-patella,จริง,
0084,Y,E,B,-,5,53,0,2,>,08,,0,,,,Rev knee repl-tibia lin,จริง,
0085,Y,E,B,-,4,45,0,2,>,08,,0,,,,"Resrf hip,total-acet/fem",จริง,
0086,Y,E,B,-,4,45,0,2,>,08,,0,,,,"Resrf hip,part-fem head",จริง,
0087,Y,E,B,-,4,45,0,2,>,08,,0,,,,"Resrf hip,part-acetablum",จริง,
0091,N,U,B,-,0,0,0,0,,--,,0,,,,Trnsplnt live rel donor,เท็จ,
0092,N,U,B,-,0,0,0,0,,--,,0,,,,Trnsplnt live nonrel don,เท็จ,
0093,N,U,B,-,0,0,0,0,,--,,0,,,,Transplant cadaver donor,เท็จ,
0094,U,,B,-,0,0,0,0,,--,,0,,,,Intra-op neurophys montr,เท็จ,
0095,P,U,B,-,0,0,0,0,,--,,,,,,Inj or infus glucarpidase,เท็จ,
0096,P,U,B,-,0,0,0,0,,--,,,,,,Inf 4-Fact Proth Cpx Conc,จริง,
0101,P,U,B,-,0,0,0,0,,--,,0,,,,Cisternal puncture,เท็จ,
0102,N,U,B,-,0,0,0,0,,--,,0,,,,Ventriculopunct thru cath,จริง,
0109,N,U,B,-,0,0,0,0,,--,,0,,,,Other cranial puncture,จริง,
0110,Y,E,B,-,0,0,0,0,,01,,0,,,,Intracran pressure montr,จริง,
0111,P,U,B,-,0,0,0,0,,--,,0,,,,Clos cereb meninges bx,จริง,
0112,Y,E,B,-,4,45,0,0,,01,17,0,,,,Open cereb meninges bx,จริง,
0113,P,U,B,-,0,0,0,0,,--,,0,,,,Closed brain biopsy,จริง,
0114,Y,E,B,-,5,50,0,0,,01,17,0,,,,Open brain biopsy,จริง,
0115,Y,E,B,-,2,31,0,0,,01,08,0,,,,Skull biopsy,จริง,
0116,Y,E,B,-,0,0,0,0,,01,,0,,,,Intracranial 02 monitor,จริง,
0117,Y,E,B,-,3,35,0,0,,01,,0,,,,Brain temp monitoring,จริง,
0118,Y,E,B,-,2,30,0,0,,01,,0,,,,Other brain dx procedure,จริง,
0119,Y,E,B,-,2,30,0,0,,01,08,0,,,,Other skull dx procedure,จริง,
